day,stage,start,end,artist
25 SAT,ROOKIE A GO-GO,24:00,24:30,日髙晴野
25 SAT,ROOKIE A GO-GO,25:00,25:30,Tocago
25 SAT,ROOKIE A GO-GO,26:00,26:30,猿臂
25 SAT,ROOKIE A GO-GO,27:00,27:30,二兆円
25 SAT,苗場食堂,12:10,12:50,Za SAVAGE
25 SAT,苗場食堂,13:30,14:10,寺久保伶矢
25 SAT,苗場食堂,15:10,15:50,NONE THE WiSER
25 SAT,苗場食堂,17:10,17:50,ANIEKY A GO GO ! BAND
25 SAT,苗場食堂,19:10,19:50,苗場音楽突撃隊
25 SAT,苗場食堂,21:10,21:50,the Tiger
25 SAT,苗場食堂,22:45,23:25,HOT DOG EXPRESS
25 SAT,PYRAMID GARDEN,08:30,09:20,ヨガワークショップ / 渋木さやか
25 SAT,PYRAMID GARDEN,09:40,10:40,GOMA
25 SAT,PYRAMID GARDEN,11:30,12:30,Michael Kaneko
25 SAT,PYRAMID GARDEN,16:30,19:30,YOSHIROTTEN
25 SAT,PYRAMID GARDEN,19:30,20:30,AOIZO
25 SAT,PYRAMID GARDEN,20:30,22:00,BAKU (KAIKOO)
25 SAT,PYRAMID GARDEN,23:00,24:00,ずっと真夜中でいいのに。(スパイシーズ状態)
25 SAT,PYRAMID GARDEN,24:50,25:50,SILENT POETS（DUB ENSEMBLE)
25 SAT,GAN-BAN SQUARE,23:30,24:30,AAAMYYY (Tempalay)
25 SAT,GAN-BAN SQUARE,24:30,26:00,MONJOE
25 SAT,GAN-BAN SQUARE,26:00,26:45,O.N.O (THA BLUE HERB)
25 SAT,GAN-BAN SQUARE,26:45,27:45,MaL a.k.a. Primal Dub
25 SAT,GAN-BAN SQUARE,27:45,29:00,Lomax(NC4K)
25 SAT,BLUE GALAXY,12:50,14:00,DJ JIM
25 SAT,BLUE GALAXY,14:00,14:50,DJ GONCHAN
25 SAT,BLUE GALAXY,14:50,15:30,NORTH KANTO REBEL SOUND CLASH
25 SAT,BLUE GALAXY,15:30,16:20,JAPAN CUMBIA FESTIVAL DJs
25 SAT,BLUE GALAXY,16:20,17:10,FUMINN
25 SAT,BLUE GALAXY,17:10,18:00,TXAKO
25 SAT,BLUE GALAXY,18:00,18:50,DJ TOMMY
25 SAT,BLUE GALAXY,18:50,21:20,CLUB SKA
25 SAT,BLUE GALAXY,21:20,22:00,SPECIAL GUEST
25 SAT,BLUE GALAXY,22:00,23:00,RIHO
25 SAT,BLUE GALAXY,23:00,24:00,DJ JIM
26 SUN,GREEN STAGE,11:00,12:00,平井 大
